Region,Year,Births,Deaths
World,1950,  91 824,  19 962
World,1951,  92 507,  19 949
World,1952,  97 371,  19 955
World,1953,  97 291,  19 847
World,1954,  100 188,  19 813
World,1955,  101 748,  19 663
World,1956,  101 759,  19 318
World,1957,  106 018,  19 434
World,1958,  104 644,  19 125
World,1959,  102 000,  20 974
World,1960,  102 378,  22 432
World,1961,  100 951,  19 704
World,1962,  112 039,  17 939
World,1963,  119 803,  18 611
World,1964,  117 292,  18 577
World,1965,  117 837,  18 912
World,1966,  117 233,  18 635
World,1967,  116 920,  18 318
World,1968,  121 826,  18 030
World,1969,  122 228,  17 878
World,1970,  124 136,  17 854
World,1971,  123 740,  17 892
World,1972,  123 554,  17 202
World,1973,  123 564,  16 881
World,1974,  122 709,  16 577
World,1975,  121 030,  16 151
World,1976,  121 322,  15 790
World,1977,  120 787,  15 369
World,1978,  122 141,  15 100
World,1979,  125 000,  14 873
World,1980,  127 447,  14 737
World,1981,  129 716,  14 599
World,1982,  133 207,  14 513
World,1983,  131 968,  14 471
World,1984,  134 365,  14 345
World,1985,  136 374,  14 202
World,1986,  139 301,  14 010
World,1987,  141 347,  13 739
World,1988,  140 986,  13 684
World,1989,  142 249,  13 358
World,1990,  143 461,  13 205
World,1991,  138 307,  12 953
World,1992,  136 591,  12 566
World,1993,  135 632,  12 179
World,1994,  135 143,  11 943
World,1995,  134 850,  11 636
World,1996,  134 321,  11 360
World,1997,  133 986,  11 069
World,1998,  133 858,  10 834
World,1999,  134 059,  10 464
World,2000,  135 758,  10 180
World,2001,  135 380,  9 867
World,2002,  135 396,  9 547
World,2003,  135 701,  9 200
World,2004,  136 596,  8 936
World,2005,  137 166,  8 605
World,2006,  138 469,  8 294
World,2007,  139 936,  8 024
World,2008,  141 759,  7 821
World,2009,  142 968,  7 625
World,2010,  143 354,  7 351
World,2011,  143 879,  7 213
World,2012,  146 055,  6 899
World,2013,  145 015,  6 659
World,2014,  145 268,  6 486
World,2015,  144 334,  6 298
World,2016,  144 854,  6 105
World,2017,  143 602,  5 920
World,2018,  140 333,  5 649
World,2019,  138 597,  5 467
World,2020,  134 720,  5 240
World,2021,  133 449,  5 107
World,2022,  132 475,  5 055
World,2023,  132 110,  4 825
World,2024,  132 406,  4 779
World,2025,  132 399,  4 699
World,2026,  132 503,  4 621
World,2027,  132 591,  4 547
World,2028,  132 761,  4 478
World,2029,  132 989,  4 412
World,2030,  133 256,  4 348
World,2031,  133 513,  4 287
World,2032,  133 765,  4 225
World,2033,  134 065,  4 164
World,2034,  134 381,  4 103
World,2035,  134 669,  4 044
World,2036,  134 946,  3 984
World,2037,  135 141,  3 924
World,2038,  135 355,  3 863
World,2039,  135 515,  3 803
World,2040,  135 669,  3 744
World,2041,  135 673,  3 685
World,2042,  135 636,  3 625
World,2043,  135 581,  3 567
World,2044,  135 407,  3 510
World,2045,  135 109,  3 452
World,2046,  134 764,  3 398
World,2047,  134 271,  3 343
World,2048,  133 752,  3 289
World,2049,  133 163,  3 237
World,2050,  132 555,  3 185
World,2051,  131 923,  3 134
World,2052,  131 280,  3 085
World,2053,  130 667,  3 036
World,2054,  130 020,  2 989
World,2055,  129 485,  2 943
World,2056,  128 995,  2 897
World,2057,  128 531,  2 853
World,2058,  128 110,  2 809
World,2059,  127 755,  2 766
World,2060,  127 431,  2 724
World,2061,  127 117,  2 683
World,2062,  126 876,  2 644
World,2063,  126 635,  2 604
World,2064,  126 430,  2 563
World,2065,  126 218,  2 523
World,2066,  126 019,  2 485
World,2067,  125 793,  2 445
World,2068,  125 547,  2 407
World,2069,  125 260,  2 369
World,2070,  124 986,  2 332
World,2071,  124 696,  2 294
World,2072,  124 348,  2 257
World,2073,  123 982,  2 221
World,2074,  123 573,  2 185
World,2075,  123 140,  2 150
World,2076,  122 693,  2 114
World,2077,  122 209,  2 081
World,2078,  121 660,  2 046
World,2079,  121 107,  2 014
World,2080,  120 555,  1 981
World,2081,  119 955,  1 948
World,2082,  119 412,  1 916
World,2083,  118 804,  1 886
World,2084,  118 220,  1 856
World,2085,  117 622,  1 828
World,2086,  117 028,  1 800
World,2087,  116 442,  1 771
World,2088,  115 886,  1 743
World,2089,  115 345,  1 715
World,2090,  114 805,  1 688
World,2091,  114 283,  1 662
World,2092,  113 773,  1 635
World,2093,  113 262,  1 609
World,2094,  112 773,  1 584
World,2095,  112 282,  1 560
World,2096,  111 831,  1 535
World,2097,  111 397,  1 511
World,2098,  110 941,  1 488
World,2099,  110 501,  1 464
World,2100,  110 028,  1 442
